order	family	genus	species	common	max_tl_mm
Scorpaeniformes	Psychrolutidae	Cottunculus	thomsonii	Pallid Sculpin	430
Perciformes	Cryptacanthodidae	Cryptacanthodes	maculatus	Wrymouth	970
Lophiiformes	Ceratiidae	Cryptopsaras	couesii	Triplewart Seadevil	73
Gobiesociformes	Gobiesocidae	Cyclopterus	lumpus	Lumpfish	610
Stomiiformes	Gonostomatidae	Cyclothone	microdon	Veiled Anglemouth	76
Lophiiformes	Ogcocephalidae	Dibranchus	atlanticus	Atlantic Batfish	394
Rajiformes	Rajidae	Dipturus	laevis	Barndoor Skate	1520
Beryciformes	Diretmidae	Diretmus	argenteus	Silver Spinyfin	276
Gadiformes	Lotidae	Enchelyopus	cimbrius	Fourbeard Rockling	410
Perciformes	Stichaeidae	Eumesogrammus	praecisus	Fourline Snakeblenny	220
